Device_ID,Device_Type,Purchase_Date,Manufacturer,Model,Country,Maintenance_Report,Age,Maintenance_Cost,Downtime,Maintenance_Frequency,Failure_Event_Count,Maintenance_Class
MD10000,MRI Scanner,2010-01-01,MediTech,Model-100,India,Voltage spike observed.,1.416526187719072,1038.1178877609195,4.020392526797066,1,2,0
MD10001,Defibrillator,2010-01-02,MediTech,Model-900,Germany,Voltage spike observed.,12.775952900476987,8957.069434216628,25.95720582035396,4,5,3
MD10002,MRI Scanner,2010-01-03,BioSystems,Model-900,India,Operational lag reported.,1.4458725939412016,1807.6978427524991,8.932040875442711,3,0,0
MD10003,Defibrillator,2010-01-04,HealthCorp,Model-600,Japan,Operational lag reported.,11.389934520437803,10047.78559081884,38.262392053413066,5,5,3
MD10004,ECG Machine,2010-01-05,MediTech,Model-900,Japan,Voltage spike observed.,15.0,6513.68947179675,17.59553047902709,4,3,2
MD10005,Defibrillator,2010-01-06,CardioSync,Model-100,Japan,Operational lag reported.,0.5044753700560767,4275.293571574013,8.835026703121265,3,0,0
MD10006,ECG Machine,2010-01-07,CardioSync,Model-900,USA,Component replaced after overheating.,4.7281859733677205,7359.07740214905,11.740914563276531,3,2,1
MD10007,MRI Scanner,2010-01-08,BioSystems,Model-900,Germany,Routine check completed.,4.681744819399125,5138.852313064828,9.118918844113558,2,0,0
MD10008,MRI Scanner,2010-01-09,CardioSync,Model-450,UK,Routine check completed.,1.7735110438213362,1404.900131539548,7.147746374574052,3,1,0
MD10009,ECG Machine,2010-01-10,MediTech,Model-600,Germany,Battery wear detected.,2.0834649749455774,2191.9166375126106,3.539776416010155,3,2,0
MD10010,Ventilator,2010-01-11,HealthCorp,Model-600,Japan,Operational lag reported.,8.135571478958314,8888.201042583754,39.31800577982722,5,6,3
MD10011,MRI Scanner,2010-01-12,MediTech,Model-600,India,Routine check completed.,7.521328780227818,10734.377825798509,36.47023553853441,5,8,3
MD10012,Defibrillator,2010-01-13,BioSystems,Model-600,Germany,Operational lag reported.,4.556670187415407,4731.0719930802525,12.49991479671209,3,3,1
MD10013,Defibrillator,2010-01-14,MediTech,Model-900,Germany,Voltage spike observed.,8.28004142390199,4658.338646569651,11.265579676536124,4,2,1
MD10014,ECG Machine,2010-01-15,MediTech,Model-900,India,Battery wear detected.,10.24587072197962,10959.87806657714,24.106878285209813,6,5,3
MD10015,Ventilator,2010-01-16,BioSystems,Model-450,UK,Voltage spike observed.,11.130239695756494,9001.930005250502,27.99647019791604,4,7,3
MD10016,MRI Scanner,2010-01-17,MediTech,Model-100,India,Component replaced after overheating.,6.255738225304838,3758.084074554614,7.270508281081287,4,2,1
MD10017,ECG Machine,2010-01-18,MediTech,Model-900,Germany,Voltage spike observed.,1.5234129007224322,1333.884019691779,5.190390211034286,3,2,0
MD10018,Defibrillator,2010-01-19,BioSystems,Model-600,USA,Battery wear detected.,1.7017367923347408,1602.565770464025,8.65918169278534,1,2,0
MD10019,ECG Machine,2010-01-20,BioSystems,Model-450,USA,Battery wear detected.,2.865464288261279,3763.6066953380096,1.0154279122792218,2,0,0
MD10020,MRI Scanner,2010-01-21,CardioSync,Model-100,USA,Operational lag reported.,4.786141929788589,5920.976568108617,4.375760112765554,3,2,1
MD10021,Defibrillator,2010-01-22,BioSystems,Model-600,India,Voltage spike observed.,6.08906042384603,6099.617373981884,11.85182774383327,4,3,1
MD10022,Defibrillator,2010-01-23,BioSystems,Model-100,UK,Operational lag reported.,10.718954763864044,12646.800556514994,22.72975432283958,5,8,3
MD10023,Defibrillator,2010-01-24,MediTech,Model-900,India,Routine check completed.,6.613036313146885,6188.062256431628,7.960508653256037,2,1,1
MD10024,Ventilator,2010-01-25,BioSystems,Model-600,Japan,Component replaced after overheating.,12.159727896283592,8175.229632991341,13.252554697067506,5,3,2
MD10025,ECG Machine,2010-01-26,MediTech,Model-900,USA,Battery wear detected.,3.7145558275268105,3020.184027169118,4.5051050624783056,1,1,0
MD10026,MRI Scanner,2010-01-27,CardioSync,Model-450,India,Operational lag reported.,11.185221982112733,11017.122722219445,43.04437316012976,4,8,3
MD10027,MRI Scanner,2010-01-28,HealthCorp,Model-450,UK,Routine check completed.,12.26542157475653,7483.078771881028,36.44402063655895,6,7,3
